pos_2022,pos_2021,city,country,remote_jobs,overworked_population,minimum_vacations_offered,vacations_taken,unemployment,multiple_jobholders,inflation,paid_parental_leave,covid_impact,covid_support,healthcare,access_to_mental_healthcare,inclusivity_and_tolerance,affordability,happiness_culture_and_leisure,city_safety,outdoor_spaces,air_quality,wellness_and_fitness,total_score
60,36,Atlanta,USA,40.39,12.60,10,8.7,96.2,3.80,11.69,0,84.6,81.7,86.1,66.9,86.7,83,82.9,51.6,92.2,95.6,59.9,84.06
61,0,Milwaukee,USA,36.48,12.10,10,9.2,96.4,7.60,8.42,0,82.3,84.3,87.1,66.9,89.4,75.1,81.3,48.7,88.6,96.9,60.8,83.89
62,0,Austin,USA,45.51,13.50,10,8.5,96.7,3.70,8.71,0,81.9,82.3,87.2,67.5,87.4,95.2,85.4,65.5,77.4,96.4,56.7,83.67
63,39,Milan,Italy,34.99,13.20,20,21,91.4,1.40,5.79,336.7,63.3,84.7,94.2,73.1,82,54,70.4,63,81.9,91.5,78.3,83.66
64,0,Pittsburgh,USA,36.82,12.00,10,9.2,92.7,6.00,7.19,0,80.2,85.1,89.5,66.8,86.6,75.3,83.9,62.3,91.8,95.5,60.5,83.63
65,0,Jacksonville,USA,36.61,12.50,10,9.1,96.6,3.50,9.39,0,78,80.3,87.7,66.4,89.2,89.5,77.6,53,84.1,97,61.7,83.33
66,0,Nashville,USA,36.41,13.50,10,8.3,97.4,4.30,9.02,0,80,80.7,84.4,67.2,84.9,75.7,79.6,57.3,98,95.9,58.2,83.25
67,0,Cincinnati,USA,36.20,12.40,10,9.4,95.5,6.50,8.42,0,79.5,84.8,86.6,66.6,85.2,84.9,76.6,56.2,95.4,95.4,57.9,83.15
68,0,Columbus,USA,39.54,12.70,10,9.4,95.3,6.50,8.42,0,81,85.1,88.3,66.4,87.2,90.7,77.8,54.7,86.6,95.6,58.8,83.05
69,43,Chicago,USA,39.18,12.50,10,10.7,93.3,5.20,7.35,0,79.3,85.7,86.4,68,90.6,84.1,90.2,47.6,90,95.5,61.3,82.92
70,40,Miami,USA,36.70,13.00,10,9.2,96.1,3.50,10.19,0,77.3,78,85.7,67.2,89.1,65.3,87,55.6,83.1,98,62.1,82.83
71,0,Baltimore,USA,41.55,12.00,10,8.4,94.6,5.30,9.48,0,76.2,82.2,90,69.1,92,84.1,77.2,40.3,92,96.1,60.2,82.77
72,35,Philadelphia,USA,40.11,12.50,10,9.2,93.3,6.00,7.71,0,78.6,85.2,87.7,66.8,88.3,74.9,83.8,44.5,94.1,95.6,60.9,82.31
73,0,Indianapolis,USA,35.96,13.20,10,8.8,98.3,5.50,8.42,0,82.3,84.5,87.8,66.8,87.8,82.2,74.1,52,82.8,94.8,55.9,82.08
74,0,Tucson,USA,37.29,11.30,10,9,95.5,4.00,9.81,0,77,87.8,84.2,67.7,87.9,68.6,78.3,55.7,76.3,97,61.7,81.85
75,42,Cleveland,USA,31.31,12.40,10,9.4,94.8,6.50,8.42,0,80.8,84.8,90.4,66.6,86.1,81.6,70.7,49.8,87.3,95.5,57.4,81.81
76,0,Oklahoma City,USA,37.34,12.40,10,8.3,97.5,4.20,8.71,0,82.8,80.9,87.5,65.6,82.3,83.5,75.6,56.5,77.4,95.7,55.3,81.75
77,0,Dallas,USA,39.69,13.80,10,8.5,95.2,3.70,8.63,0,83.7,82,85.7,67.5,84.6,99,81.3,58,77.6,96.6,56.4,81.74
78,46,Los Angeles,USA,39.09,12.80,10,7,92.6,4.00,7.78,117,75.1,91.7,85.6,66.5,94.3,78.9,89.7,58.9,86,93.4,63.3,81.62
79,0,Phoenix,USA,38.88,13.30,10,9,96.3,4.00,10.73,0,77.6,87.3,86.4,67,88,85.2,77.8,56.6,74.9,95.9,61.8,81.46
80,0,San Antonio,USA,37.71,13.00,10,8.5,95.2,3.70,8.71,0,79,81.1,87.2,67.5,85,89.1,77.4,56.8,77.6,97.3,57.1,81.46
81,0,Tulsa,USA,35.13,13.20,10,8.3,96.9,4.20,8.71,0,82.5,80.6,85.7,65.6,82.6,87.4,73.8,53.6,85.1,95.9,55.2,81.4
82,0,Wichita,USA,33.54,12.70,10,8.9,96.4,6.20,9.22,0,76.5,83.4,84.1,66.1,84.7,82,75.6,54.4,83.1,97.3,56.4,80.87
83,0,Louisville,USA,33.01,13.00,10,9,95.2,5.20,9.02,0,76.4,80.5,84.4,67,87.3,78.1,75.1,53.6,90.4,95.4,57.6,80.78
84,0,Detroit,USA,35.07,12.50,10,9.1,93.6,4.60,7.76,0,74.4,84.4,84.6,66.5,89.2,75.5,79.4,37.4,89.4,98.1,58.4,80.36
85,0,Albuquerque,USA,35.72,11.60,10,8.1,93.1,3.90,9.81,0,73.3,85.7,84.6,66.6,89.9,84.1,78.2,41,87.1,96.4,58.8,79.91
86,0,El Paso,USA,34.83,11.50,10,8.5,93.3,3.70,8.71,0,72.5,81.1,85.1,67.5,84.6,84.5,77.7,68.4,77.4,95.3,56.2,79.9
87,44,Houston,USA,37.33,13.70,10,8.5,92.8,3.70,8.15,0,73.9,81.9,87.5,67.5,83.7,100,81,50.4,84.7,97,57.2,79.89
88,30,Seoul,South Korea,37.00,13.90,15,14,95.6,1.70,4.86,93,85.7,82.6,97.2,75.1,78.5,63,63.1,81.8,85.4,71.7,72.3,79.71
89,0,Las Vegas,USA,30.41,12.50,10,8.4,92.1,3.80,9.81,0,78.2,85.2,82.4,65.7,90.3,82,84.7,51.1,84,95.6,57.4,79.47
90,41,New Orleans,USA,41.57,13.30,10,8.9,93.8,4.40,8.71,0,69.4,84.3,83.7,67.8,86.5,69.2,76.7,43.4,85.5,98.6,56.9,79.11
91,0,St. Louis,USA,37.59,12.80,10,8.8,95.1,5.80,9.00,0,79.6,83.5,90.7,66.7,85,83.4,75.7,43.9,94.1,81.7,57.9,77.15
92,0,Memphis,USA,31.81,13.20,10,8.3,93.5,4.30,9.02,0,77,81,77.7,67.2,84.2,79.4,79.2,37.3,83,97,57.7,77.12
93,45,Hong Kong,Hong Kong,40.27,17.90,7,12,95.8,3.70,2.85,70,78.6,84.6,78.1,100,73.3,54.7,56.4,85.8,82.2,81.8,81.1,77.11
94,0,Montevideo,Uruguay,27.29,16.30,20,0,87.4,4.70,17.82,0,69,80,74.4,64.6,81.4,52.4,50,56.2,83.6,98.5,62.3,74.59
95,48,Buenos Aires,Argentina,28.39,8.80,10,15,86.3,10.00,107.41,92,63.6,74.2,65.2,70.2,83.9,57.4,74.3,38.8,82.5,95.6,60.6,73.15
96,49,Bangkok,Thailand,16.84,15.10,6,10,99.2,3.70,3.46,90,85.2,88.9,75.7,79.7,73.5,50,65.8,27.8,70.1,84,65.4,70.73
97,47,Sao Paulo,Brazil,25.65,11.80,10,30,79.6,4.70,16.39,181,61.9,72.9,62.5,50,79.5,55.5,75.8,17.4,76.9,88,61.9,66.57
98,50,Kuala Lumpur,Malaysia,30.70,17.10,8,12,94.9,1.10,2.56,98,78.1,77.3,66.7,74.3,57,70.5,59.5,47.2,62.2,84.8,59.7,66.02
99,0,Dubai,UAE,28.89,23.40,30,27,100,10.00,6.89,45,100,50,69.4,52.2,50,78,79.2,97.9,50,50,58.6,61.23
100,0,Cape Town,South Africa,26.06,14.80,15,0,50,3.50,10.11,0,50,79.1,50,65,89.7,71.6,59.6,1,87.6,94.5,50,50
